,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
83,2017 Honda Jazz,V AT Petrol,₹ 7.45 Lakh,Feb 2017,"53,664 km",Petrol,19 kmpl,Automatic,Brown,Not Available,Second,Registered at,,4.6/5,4.5/5,5/5,5/5,3.6/5,2.5/5,5/5,4.7/5,4/5
84,2020 MG Hector Plus,Sharp 1.5 DCT Petrol,₹ 20.75 Lakh,Oct 2020,"6,687 km",Petrol,FWD ,Automatic,White,Not Available,First,Registered at,,4.7/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,4.2/5
85,2020 Hyundai Venue,SX 1.0 (O) Petrol [2019-2020],₹ 10.45 Lakh,Aug 2020,"15,826 km",Petrol,FWD ,Manual,Blue,Not Available,Second,Registered at,,4.6/5,4.5/5,3.2/5,5/5,3.6/5,4.3/5,5/5,4.7/5,4/5
86,2018 Ford Ecosport,Titanium + 1.5L Ti-VCT,₹ 10.25 Lakh,Sep 2018,"37,966 km",Petrol,16.3 kmpl,Manual,White,Not Available,First,Registered at,,4.5/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2.3/5
87,2019 Maruti Suzuki Baleno,Zeta,₹ 8.19 Lakh,Nov 2019,"11,932 km",Petrol,21.01 kmpl,Manual,Red,Not Available,First,Registered at,,4.6/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,4/5
88,2018 Ford Ecosport,Ambiente 1.5L Ti-VCT,₹ 8.75 Lakh,Apr 2018,"14,002 km",Petrol,17 kmpl,Manual,Grey,Not Available,First,Registered at,,4.7/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,4.2/5
89,2021 Mahindra XUV300,1.5 W6 [2019-2020],₹ 9.99 Lakh,Feb 2021,"15,500 km",Diesel,Manual - 6 Gears ,Manual,Red,Not Available,First,Registered at,,4.8/5,4.6/5,5/5,5/5,3.6/5,5/5,5/5,5/5,4.2/5
90,2019 Mahindra XUV500,W11 AT,₹ 18.65 Lakh,Apr 2019,"55,014 km",Diesel,15.1 kmpl,Automatic,White,Not Available,First,Registered at,,4.4/5,4.5/5,3.2/5,5/5,3.6/5,4.3/5,5/5,4.7/5,2.8/5
91,2015 Honda Jazz,VX Petrol,₹ 5.35 Lakh,Jun 2015,"41,179 km",Petrol,18.2 kmpl,Manual,Maroon,Not Available,First,Registered at,,4.6/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,3.4/5
92,2015 Maruti Suzuki Ciaz,VXi+ AT,₹ 7.25 Lakh,Jan 2015,"28,994 km",Petrol,19.12 kmpl,Automatic,Brown,Not Available,First,Registered at,,4.6/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,3.5/5
93,2020 Maruti Suzuki XL6,Zeta MT Petrol,₹ 11.99 Lakh,Dec 2020,"24,585 km",Petrol,19.01 kmpl,Manual,Blue,Not Available,First,Registered at,,4.6/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,3.6/5
94,2015 Hyundai Grand i10,Sportz (O) 1.2 Kappa VTVT [2017-2018],₹ 4.75 Lakh,Jul 2015,"41,390 km",Petrol,19.77 kmpl,Manual,Red,Not Available,First,Registered at,,4.7/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,4.1/5
95,2016 Hyundai Creta,1.6 SX Plus AT,₹ 10.55 Lakh,Feb 2016,"70,135 km",Diesel,17.01 kmpl,Automatic,Red,Not Available,First,Registered at,,4.7/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,4.1/5
96,2016 Maruti Suzuki Swift,ZXi,₹ 4.99 Lakh,Jul 2016,"61,235 km",Petrol,20.4 kmpl,Manual,Grey,Not Available,First,Registered at,,4.6/5,4.5/5,5/5,5/5,3.6/5,4.3/5,5/5,4.7/5,3.7/5
