,make, model, price, year, km_used, fuel_type, mileage, transmission, color, fuel_economy, no_of_owners, registered_at, condition, overall_condition, engine_condition, suspension_condition, brakes_condition, electrical_condition, ac_condition, exterior_condition, interior_condition, tyre_condition
300,2016 Volvo XC90,Momentum Luxury [2015-2020],₹ 43 Lakh,Jun-16,"97,108 km",Diesel,"Automatic - 8 Gears, Manual Override, Sport Mode ",Automatic,Black,Not Available,First,Registered at,"Make  : *VOLVO*
Model : *XC-90*
Variant:  *MOMENTUM*
Manf.Month &YR : *2016*
Registration date: *REGISTERED*
Exterior colour: *BLACK*
Interior trim: *BROWN*
Body style: *SUV*
Engine: *2.0*
Fuel type: *Diesel*
Odometer: *97000*
Transmission: *Automatic 8 Speed*
Vin: *--0777*


Car Available at 
Forex Premium & luxury Cars
Madhapur, Hyderabad",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
301,2015 Audi Q5,2.0 TFSI quattro Premium Plus,₹ 27 Lakh,Jun-15,"75,200 km",Petrol,9.82 kmpl,Automatic,Blue,Not Available,First,Registered at,well maintained,4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
302,2017 Honda WR-V,VX MT Petrol,₹ 7.39 Lakh,Apr-17,"61,032 km",Petrol,17.5 kmpl,Manual,Brown,Not Available,Second,Registered at,,4.6/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,3.8/5
303,2022 Hyundai Elite i20,Sportz 1.2 [2016-2017],₹ 8.79 Lakh,Jan-22,"4,127 km",Petrol,18.6 kmpl,Manual,White,Not Available,First,Registered at,,4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.9/5
304,2016 Honda Jazz,S MT [2015-2016],₹ 5.5 Lakh,Sep-16,"33,293 km",Petrol,18.7 kmpl,Manual,White,Not Available,First,Registered at,,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.4/5
305,2014 Ford Figo,Duratec Petrol Titanium 1.2,₹ 3.75 Lakh,Jul-14,"36,078 km",Petrol,15.6 kmpl,Manual,Red,Not Available,First,Registered at,,4.7/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.6/5,4.3/5
306,2019 Maruti Suzuki Wagon R,ZXi 1.2 AMT,₹ 6.25 Lakh,Mar-19,"43,254 km",Petrol,20.52 kmpl,Automatic,Brown,Not Available,First,Registered at,,4.4/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,1.6/5
307,2020 Maruti Suzuki Vitara Brezza,VXi,₹ 8.99 Lakh,Jul-20,"33,985 km",Petrol,17 kmpl,Manual,White,Not Available,First,Registered at,,4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.8/5
308,2012 Honda Brio,E MT,₹ 3.25 Lakh,May-12,"45,200 km",Petrol,17 kmpl,Manual,White,Not Available,First,Registered at,"
+ Honda Brio 1.2 E (i-VTEC) Petrol
+ Manual Transmission
+ 2012 May Make, December Registered
+ Tafeta White Colour
+ Only 45,200 Kms Driven On Petrol Fuel
+ On Second Set of Four Tyres (GOOD YEAR), Almost New
+ TP insurance valid upto 14th October 2022
+ Single Owner till Date
+ Well Maintained
+ Fancy Reg No 0939
+ Unused Stephne Tyre
+ Amaron Battery Installed August 2021

Features:
+ 1.2L i-VTEC Engine
+ Company Music System FM, USB, AUX with 4 Speakers
+ Power Air Conditioning with Heater
+ Headlight Height Adjuster
+ Foldable Rear Seat Back
+ Leather Like Seat Covers
+ Front Power Windows
+ Electric Power Steering
+ Mattings Etc

Mileage : 12-14 Kmpl in City on AC, 16-18 kmpl on Highways on AC.

Finance Arranged, Price 3.25 Lakhs Slightly Negotiable.
Contact 87903 76176

+ Non-Accidental, Non-Flood Affected
+ Verified Service History
+ Clear Title
+ Exchange Trade-in Possible
+ Assured Buy Back Value

For more such cars, Follow us on 
FaceBook : https://bit.ly/FBSub5 
Instagram : https://bit.ly/INSub5
Youtube : https://bit.ly/YTSub5Cars
Whatsapp : https://bit.ly/WASub5Cars
WebSite : https://www.sub5cars.in",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.8/5
309,2017 Maruti Suzuki Wagon R,VXI+,₹ 4.75 Lakh,Feb-17,"38,800 km",Petrol,20.5 kmpl,Manual,White,Not Available,Second,Registered at,"
+ Maruti Suzuki Wagon-R 1.O VXI Plus Petrol (Topend then, Stingray type)
+ Manual Transmission
+ 2017 February Make
+ Superior White Colour
+ Driven only 38,800 KMs till date
+ On Second Set of Four NEW Tyres, Changed Recently, Bills Available
+ Well Maintained
+ Once Used Stephne Tyre
+ Insurance to be Renewed
+ New EXIDE Battery Recently Installed (Bill and Warranty Available)

Features:
+ Driver Side Airbag
+ A B S (Antilock Breaking System)
+ Projector Head Lamps
+ Company Fitted Alloy Wheels
+ Company Music System with Speakers (CD, FM, USB, AUX)
+ Remote Central Locking System
+ Electronic Adjust Outer Rear View Mirrors
+ Premium Seat Covers and Steering Cover
+ Front Fog Lamps
+ Rear Defogger and Wash Wiper 
+ Air Conditioner with Heater
+ Electronic Power Steering
+ All Power Windows, Mattings Etc

Mileage: 15-16 Kmpl City on AC, 18-20 Kmpl Highway on AC. 

Maximum Finance Arranged. Price 4.75 Lakhs Slightly Negotiable. 
Contact 98850 76176

+ Non-Accidental, Non-Flood Affected
+ Verified Service History
+ Clear Title
+ Exchange Trade-in Possible
+ Assured Buy Back Value

For more such cars, Follow us on 
FaceBook : bit.ly/FBSub5 
Instagram : bit.ly/INSub5
Youtube : bit.ly/YTSub5Cars
Whatsapp : bit.ly/WASub5Cars
WebSite : www.sub5cars.in

Car Short Video : https://youtu.be/z3LntT5SSDU",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.8/5
310,2012 Hyundai Elantra,1.6 SX MT,₹ 6.25 Lakh,Sep-12,"76,500 km",Diesel,21.9 kmpl,Manual,White,Not Available,First,Registered at,"
+ Hyundai Elantra 1.6 SX Option CRDI Diesel Topend
+ Manual Transmission
+ 2012 September Make, November Registration
+ Coral White Colour
+ Driven 76,500 KMs till date, Diesel Fuel
+ Complete Company Serviced
+ On Second Set of Tyres
+ Well Maintained
+ Two Smart Keys Available
+ New Exide Battery Installed June'22
+ Insurance to be Renewed
+ Single Owner
+ Fancy Reg No 4749

Features: 
+ Six Airbags
+ Push Button Start with Smart Key  
+ A B S (Antilock Braking System), E B D, E S P
+ Cruise Controls
+ Air Ventilation in Front Seats
+ Rear View Camera with Parking Sensors
+ 16 Inches Alloy Wheels
+ Electrical Adjustable Driver Seat
+ Dual Zone Climate Control with Rear AC Vents
+ Company Music System (USB, CD, AUX, Bluetooth) and Speakers
+ Steering Mounted Audio and Phone Controls
+ Tilt and Telescopic Steering 
+ Electrical Foldable and Adjustable Outer Rear View Mirrors 
+ Front and Rear Fog Lamps 
+ Front and Rear Arm Rests
+ Height Adjustable Front Seat Belt
+ Leather Premium Upholstry from Company
+ Steering Cover Etc 
 
Mileage: 15-17 City on AC, 18-20 Kmpl Highway on AC.

Maximum Finance Arranged. Price 6.25 Lakhs, Slightly Negotiable. 

Contact 87903 76176

+ Non-Accidental, Non-Flood Affected
+ Verified Service History
+ Clear Title
+ Exchange Trade-in Possible
+ Assured Buy Back Value

For more such cars, Follow us on
FaceBook : https://bit.ly/FBSub5
Instagram : https://bit.ly/INSub5
Youtube : https://bit.ly/YTSub5Cars
Whatsapp : https://bit.ly/WASub5Cars
WebSite : https://www.sub5cars.in",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.8/5
311,2015 Honda Jazz,SV Petrol,₹ 5.25 Lakh,Oct-15,"43,600 km",Petrol,18.7 kmpl,Manual,Silver,Not Available,First,Registered at,"
+ Honda Jazz 1.2 SV (i-VTEC) Petrol
+ Manual Transmission
+ 2015 October Make, November Registered
+ Albaster Silver Metallic Colour
+ Only 43,600 KMs driven, Petrol Fuel
+ On Second Set of Four Bridgestone Tyres, Almost New
+ Well Maintained
+ Single Owner
+ Insurance to be Renewed
+ Fancy Reg No 5262

Features:
+ Front Two Airbags 
+ A B S (Antilock Braking System)
+ E B D (Electric BrakeForce Distribution)
+ Wheel Mounted Audio and Phone Controls
+ Company Touchscreen Music System with CD, FM, USB, AUX and Bluetooth
+ Front Fog Lamps 
+ Reverse Parking Camera
+ Rear Window Defogger
+ Height Adjustable Driver Seat
+ Remote Central Locking 
+ Adjustable Steering
+ Electric Adjust Outer Rear View Mirrors
+ Premium Seat Covers
+ Mattings Etc

Mileage: 12-14 Kmpl City, 16-18 Kmpl Highway.

Maximum Finance Arranged, Price 5.25 Lakhs, Slightly Negotiable. Contact 879O3 76176

+ Non-Accidental, Non-Flood Affected
+ Verified Service History
+ Clear Title
+ Exchange Trade-in Possible
+ Assured Buy Back Value

For more such cars, Follow us on 
FaceBook : https://bit.ly/FBSub5 
Instagram : https://bit.ly/INSub5
Youtube : https://bit.ly/YTSub5Cars
Whatsapp : https://bit.ly/WASub5Cars
WebSite : https://www.sub5cars.in",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.8/5
312,2017 Volkswagen Vento,Highline Diesel AT [2015-2016],₹ 8.95 Lakh,Sep-17,"28,500 km",Diesel,21.5 kmpl,Automatic,Grey,Not Available,First,Registered at,"
+ Volkswagen Vento 1.5 TDI AT Highline Diesel
+ Automatic Transmission
+ 2018 April Registered, 2017 September Make
+ Carbon Steel Grey Metallic Colour
+ Driven Only 28,500 KMs, Diesel Fuel
+ Complete Showroom Serviced till date, Bills Available
+ Recently Fully Serviced, Next after 15,000 Kms or 1 Year
+ Very Well Maintained
+ Single Owner Till Date
+ Unused Stephne Wheel
+ Insurance to be renewed

Features: 
+ D S G Automatic Gear Box
+ Two Front Airbags
+ A B S (Antilock Braking System)
+ Hill Hold Control
+ Alloy Wheels
+ Cruise Controls
+ Automatic Climate Controls with Rear Vent AC
+ Company Touchscreen Infotainment System
  (FM, USB, AUX, Bluetooth, SD Card and Speakers)
+ Android Auto and Apple Carplay
+ Reverse Parking Sensors 
+ Steering Wheel Mounted Audio and Phone Controls
+ Leatherette Seat Upholstery, Leather Wrapped Steering
+ Foldable and Adjustable Electronic Outer Rear View Mirrors
+ Remote Flip Key Central Locking
+ Tilt and Telescopic Steering Adjustment
+ Height Adjustable Driver Seat
+ Front and Rear Fog Lamps
+ Mattings Etc.

Mileage: 14-16 Kmpl City On AC and 18-20 Kmpl Highway on AC.

Maximum Finance Arranged, Price 8.95 Lakhs, Slightly Negotiable.
Contact 87903 76176

+ Non-Accidental, Non-Flood Affected
+ Verified Service History
+ Clear Title
+ Exchange Trade-in Possible
+ Assured Buy Back Value

For more such cars, Follow us on 
FaceBook : bit.ly/FBSub5 
Instagram : bit.ly/INSub5
Youtube : bit.ly/YTSub5Cars
Whatsapp : bit.ly/WASub5Cars
WebSite : www.sub5cars.in",4.5/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.8/5
313,2019 Hyundai Verna,SX Plus 1.6 CRDi AT,₹ 14.5 Lakh,Feb-19,"26,743 km",Diesel,FWD ,Automatic,Black,Not Available,First,Registered at,,4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
314,2014 Honda Mobilio,V Petrol,₹ 6.1 Lakh,Aug-14,"75,769 km",Petrol,17.3 kmpl,Manual,Gold,Not Available,First,Registered at,,4.4/5,4.1/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.5/5
315,2018 Tata Tiago,Revotron XZA,₹ 5.8 Lakh,Nov-18,"42,261 km",Petrol,23.84 kmpl,Automatic,Maroon,Not Available,First,Registered at,,4.3/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.1/5
316,2017 Honda WR-V,S MT Diesel,₹ 7.9 Lakh,Jun-17,"82,336 km",Diesel,25.5 kmpl,Manual,Brown,Not Available,First,Registered at,,4.4/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.3/5
317,2018 Volkswagen Polo,GT TSI,₹ 8.8 Lakh,Apr-18,"73,503 km",Petrol,17.21 kmpl,Automatic,Red,Not Available,First,Registered at,,4.4/5,4.2/5,5-May,5-May,3.6/5,3.4/5,5-May,4.7/5,2.8/5
318,2018 Hyundai Elite i20,Asta 1.2 AT,₹ 9.5 Lakh,Oct-18,"11,752 km",Petrol,19.8 kmpl,Automatic,Maroon,Not Available,First,Registered at,,4.6/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,4.6/5
319,2018 Honda City,V Diesel,₹ 10.3 Lakh,May-18,"43,996 km",Diesel,FWD ,Manual,White,Not Available,First,Registered at,,4.4/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.1/5
320,2012 Hyundai i10,Sportz 1.2 Kappa2,₹ 3.5 Lakh,Dec-12,"94,348 km",Petrol,20.63 kmpl,Manual,Maroon,Not Available,First,Registered at,,4.3/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,1.5/5
321,2018 Volkswagen Vento,Highline Diesel AT [2015-2016],₹ 11 Lakh,Oct-18,"36,212 km",Diesel,21.5 kmpl,Automatic,Blue,Not Available,First,Registered at,,4.4/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,5-Feb
322,2019 Hyundai Venue,S 1.2 Petrol [2019-2020],₹ 10 Lakh,Nov-19,"24,860 km",Petrol,FWD ,Manual,White,Not Available,First,Registered at,,4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,3.6/5
323,2021 Nissan Magnite,XV Premium Turbo (O) CVT Dual Tone,₹ 11.75 Lakh,Jun-21,"11,422 km",Petrol,17.7 kmpl,Automatic,Blue,Not Available,First,Registered at,,4.6/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,3.8/5
324,2013 Honda City,1.5 S MT,₹ 6.75 Lakh,Sep-13,"77,320 km",Petrol,16.8 kmpl,Manual,Brown,Not Available,First,Registered at,,4.6/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,3.9/5
325,2018 Honda City,V,₹ 9.5 Lakh,Mar-18,"41,132 km",Petrol,FWD ,Manual,White,Not Available,First,Registered at,,4.4/5,4.5/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,1.6/5
326,2019 Hyundai Verna,1.6 VTVT SX (O),₹ 11.8 Lakh,Mar-19,"33,783 km",Petrol,FWD ,Manual,Black,Not Available,First,Registered at,,4.4/5,4.3/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.1/5
327,2017 Maruti Suzuki Ignis,Delta 1.2 MT,₹ 5.11 Lakh,May-17,"41,450 km",Petrol,FWD ,Manual,Silver,Not Available,First,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
328,2018 Hyundai Elite i20,Asta 1.2 (O) [2019-2020],₹ 7.07 Lakh,May-18,"51,168 km",Petrol,19.8 kmpl,Manual,Red,Not Available,Second,Registered at,"Super saver Days sale!!!!! save upto 60,000/- off. This car is MRL certified and checked by experts on 140 quality parameters to provide you with a good-as-new experience. We have a 7-day easy return policy, no question asked, and a free 12-month warranty. Mega Refurbishment Labs (MRLs) are world-class facilities across 7 metros in India - each is built on 35 acres of land and can produce 20,000 top-quality refurbished cars per month. Additional charges for Insurance and RC Transfer may apply. * Terms and conditions applied.",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
329,2019 Mahindra Scorpio,S3 2WD 7 STR,₹ 11.2 Lakh,Jun-19,"23,000 km",Diesel,15 kmpl,Manual,Red,Not Available,First,Registered at,"Excellent Condition, Less Driven & Original Paint",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
330,2017 Hyundai Grand i10,Sportz 1.2 Kappa VTVT [2016-2017],₹ 5.5 Lakh,Jun-17,"35,287 km",Petrol,18.9 kmpl,Manual,Grey,Not Available,First,Registered at,"Excellent Condition, Certified Car, Less Driven, Non Accidental, Single Owner & Finance Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
331,2020 Hyundai Elite i20,Asta (O) 1.2 MT,₹ 8.2 Lakh,Jun-20,"49,094 km",Petrol,20.3 kmpl,Manual,Grey,Not Available,First,Registered at,"Excellent Condition, Non Accidental, Less Driven, Certified Car, Single Owner, Finance Available, Service History Available & Warranty Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
332,2012 Skoda Superb,Elegance 2.0 TDI CR AT,₹ 7.4 Lakh,Jun-12,"1,04,000 km",Diesel,17.2 kmpl,Automatic,Black,Not Available,First,Registered at,"Single Owner, Original Paint, Test Drive Available & Finance Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
333,2019 Ford Ecosport,Titanium 1.5L Ti-VCT,₹ 9.5 Lakh,Jun-19,"18,134 km",Petrol,17 kmpl,Manual,White,Not Available,First,Registered at,"Excellent Condition, Certified Car, Less Driven, Non Accidental, Single Owner, Finance Available, Service History Available & Warranty Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
334,2019 Mahindra Scorpio,S3 2WD 7 STR,₹ 10.65 Lakh,Jun-19,"38,878 km",Diesel,15 kmpl,Manual,Red,Not Available,First,Registered at,"Excellent Condition, Original Paint & Less Driven",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
335,2015 Skoda Rapid,1.5 TDI CR Elegance,₹ 6.2 Lakh,Jun-15,"1,09,335 km",Diesel,21.14 kmpl,Manual,Silver,Not Available,First,Registered at,"Excellent Condition, Non Accidental, Certified Car, Single Owner & Finance Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
336,2021 Skoda Kushaq,Active 1.0 TSI MT,₹ 12.5 Lakh,Jun-21,"3,415 km",Petrol,19.2 kmpl,Manual,White,Not Available,First,Registered at,"Very Good Condition, Non Accidental, Less Driven, Original Paint, Single Owner, Alloy Wheels & Rear view Camera",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
337,2021 Kia Carnival,Prestige 7 STR,₹ 32 Lakh,Jun-21,"35,000 km",Diesel,13.9 kmpl,Automatic,White,Not Available,First,Registered at,Immaculate maintained Kia Carnival prestige model available for sale at Forex premium and luxury cars for More details visit showroom,4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
338,2020 Tata Tiago,Revotron XZA Plus,₹ 7.5 Lakh,Jun-20,"20,849 km",Petrol,23.84 kmpl,Automatic,Yellow,Not Available,First,Registered at,"Excellent Condition, Certified Car, Less Driven, Non Accidental, Single Owner, Finance Available, Service History Available, Test Drive Available & Warranty Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
339,2014 BMW 3-Series,320d Luxury Line [2014-2016],₹ 25.75 Lakh,Jun-14,"67,512 km",Diesel,RWD ,Automatic,White,Not Available,First,Registered at,"Very Good Condition, Non Accidental, Original Paint, Single Owner, Alloy Wheels & Rear view Camera",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
340,2011 Nissan Micra,XL Petrol,₹ 3.2 Lakh,Jun-11,"77,303 km",Petrol,18.6 kmpl,Manual,Red,Not Available,First,Registered at,"Excellent Condition, Non Accidental, Certified Car, Single Owner & Finance Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
341,2009 Skoda Superb,Elegance 1.8 TSI MT,₹ 5.2 Lakh,Jun-09,"79,436 km",Petrol,13.7 kmpl,Manual,Grey,Not Available,First,Registered at,"Excellent Condition, Non Accidental, Single Owner, Certified Car & Service History Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
342,2015 Hyundai Elite i20,Asta 1.2,₹ 5.95 Lakh,Jun-15,"58,369 km",Petrol,18.6 kmpl,Manual,White,Not Available,First,Registered at,"Very Good Condition, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Roadside Assistance Available, Service History Available, Test Drive Available, VIP Number, Certified Car, Less Driven, Non Accidental & Original Paint",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
343,2019 Maruti Suzuki Ertiga,VDI SHVS,₹ 11.8 Lakh,Jun-19,"90,000 km",Diesel,24.52 kmpl,Manual,Maroon,Not Available,First,Registered at,"Original Paint, Single Owner, Finance Available & Test Drive Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
344,2017 Skoda Rapid,Style 1.5 TDI,₹ 7.5 Lakh,Jun-17,"80,224 km",Diesel,21.13 kmpl,Manual,Grey,Not Available,First,Registered at,"Excellent Condition, Certified Car, Non Accidental, Single Owner & Finance Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
345,2016 Mercedes-Benz E-Class,E 250 CDI Edition E,₹ 28.5 Lakh,Jun-16,"72,000 km",Diesel,14.2 kmpl,Automatic,Brown,Not Available,First,Registered at,excellent Condition,4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
346,2015 Volkswagen Polo,Trendline 1.2L (P),₹ 5.2 Lakh,Jun-15,"50,000 km",Petrol,16.47 kmpl,Manual,Grey,Not Available,First,Registered at,"Original Paint, Single Owner, Finance Available & Test Drive Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
347,2010 Toyota Corolla Altis,1.8 G,₹ 3.7 Lakh,Jun-10,"80,686 km",Petrol,9.8 kmpl,Manual,White,Not Available,First,Registered at,"Excellent Condition, Certified Car, Non Accidental & Single Owner",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
348,2009 Hyundai Santro,GLS,₹ 2.8 Lakh,Jun-09,"20,652 km",Petrol,17.92 kmpl,Manual,Silver,Not Available,First,Registered at,"Excellent Condition, Certified Car, Less Driven, Non Accidental & Single Owner",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
349,2014 Skoda Rapid,1.5 TDI CR Elegance,₹ 5.8 Lakh,Jun-14,"1,08,000 km",Diesel,21.14 kmpl,Manual,Bronze,Not Available,First,Registered at,"Original Paint, Single Owner, Finance Available & Test Drive Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
350,2020 Ford Ecosport,Titanium 1.5L Ti-VCT,₹ 9.5 Lakh,Jun-20,"26,546 km",Petrol,17 kmpl,Manual,Silver,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Certified Car, Single Owner, Finance Available & Warranty Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
351,2016 Honda City,SV Diesel,₹ 7.3 Lakh,Jun-16,"33,741 km",Diesel,FWD ,Manual,Red,Not Available,First,Registered at,"Excellent Condition, Certified Car, Less Driven, Non Accidental, Single Owner, Finance Available, Service History Available & Warranty Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
352,2017 Renault Duster,RXS CVT,₹ 8.5 Lakh,Jun-17,"36,762 km",Petrol,13.6 kmpl,Automatic,White,Not Available,First,Registered at,"Less Driven, Certified Car, Non Accidental, Single Owner, Finance Available, Service History Available & Warranty Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
353,2018 Hyundai Grand i10,Magna U2 1.2 CRDi,₹ 6.2 Lakh,Jun-18,"30,704 km",Diesel,24.95 kmpl,Manual,Silver,Not Available,First,Registered at,"Excellent Condition, Certified Car, Less Driven, Non Accidental, Single Owner, Finance Available, Service History Available & Warranty Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
354,2013 Ford Fiesta/Classic,1.4 TDCi CLXi,₹ 3.35 Lakh,Jun-13,"1,06,581 km",Diesel,19.05 kmpl,Manual,Grey,Not Available,First,Registered at,"Excellent Condition, Certified Car, Non Accidental & Single Owner",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
355,2021 Hyundai Venue,S 1.0 Turbo DCT,₹ 11.45 Lakh,Jun-21,"15,000 km",Petrol,18.15 kmpl,Automatic,Grey,Not Available,First,Registered at,"Original Paint, Single Owner, Finance Available & Test Drive Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
356,2011 Honda City,1.5 S MT,₹ 4.5 Lakh,Jun-11,"87,954 km",Petrol,11.6 kmpl,Manual,Silver,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Single Owner & Finance Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
357,2010 Maruti Suzuki Alto,LXi BS-IV,₹ 2 Lakh,Jun-10,"30,127 km",Petrol,19.7 kmpl,Manual,Red,Not Available,First,Registered at,"Excellent Condition, Less Driven, Certified Car, Non Accidental & Single Owner",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
358,2012 Hyundai Santro,GLS,₹ 3 Lakh,Jun-12,"55,612 km",Petrol,17.92 kmpl,Manual,Red,Not Available,First,Registered at,"Excellent Condition, Less Driven, Certified Car, Non Accidental, Single Owner & Finance Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
359,2012 Maruti Suzuki Wagon R,VXI,₹ 3.35 Lakh,Jun-12,"78,000 km",Petrol,20.5 kmpl,Manual,White,Not Available,First,Registered at,"Excellent Condition, Less Driven, Non Accidental, Original Paint, Single Owner, Finance Available, Rear view Camera, Service History Available & Test Drive Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
360,2017 BMW X1,xDrive20d M Sport,₹ 31 Lakh,Jun-17,"47,000 km",Diesel,4WD / AWD ,Automatic,Blue,Not Available,First,Registered at,"Very Good Condition, Less Driven, Non Accidental, Original Paint, Certified Car, Single Owner, Alloy Wheels, Finance Available, Rear view Camera, Service History Available & Test Drive Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
361,2016 Maruti Suzuki Alto 800,Lxi,₹ 3.2 Lakh,Jun-16,"36,460 km",Petrol,22.74 kmpl,Manual,Silver,Not Available,First,Registered at,"Excellent Condition, Less Driven, Certified Car, Non Accidental, Single Owner & Finance Available",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
362,2009 Maruti Suzuki Alto,LXi BS-III,₹ 2.2 Lakh,Jun-09,"60,506 km",Petrol,14.54 kmpl,Manual,Silver,Not Available,First,Registered at,"Excellent Condition, Certified Car, Non Accidental & Single Owner",4.5/5,4.2/5,5-May,5-May,3.6/5,4.3/5,5-May,4.7/5,2.9/5
